Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2019,Gerrit Cole,HOU,4,1,5,36.2,11.54,2.7,0.98,0.224,0.947,0.367,0.108,1.72,2.97,3.56,543037,0.16471032273320624,0.13094690080023488,0.29834477698428175,5.69120050738042,0.8344119548961646,0.9902000901564126,261.4881298042721,68.12458071311964,5.0
2019,Stephen Strasburg,WSN,5,0,6,36.1,11.64,0.99,0.99,0.299,0.88,0.462,0.154,1.98,2.39,2.38,544931,0.11286656869586523,0.09840605136837309,0.354652458173672,5.5918606549814545,1.0375169857909614,0.7862831166534392,420.95763820017225,83.03072771798207,5.0
2021,Tyler Matzek,ATL,3,0,13,15.2,13.79,2.3,0.0,0.313,0.7859999999999999,0.29,0.0,1.72,0.87,2.79,554431,0.13193792564557633,0.0929380047726629,0.14245708527276474,5.483652234268417,0.478281722840558,0.9746346965208327,269.423812880102,76.1409447915369,3.0
2017,Masahiro Tanaka,NYY,2,1,3,20.0,8.1,1.35,0.0,0.196,0.846,0.5489999999999999,0.0,0.9,1.81,3.14,547888,0.27872416269851424,0.13420924109946314,0.2485401814548456,4.204403372653867,0.7898336003797753,0.5747319223786622,403.83216438933704,75.6253587073605,6.0
2023,Zack Wheeler,PHI,3,0,5,27.2,11.39,0.98,0.98,0.226,0.823,0.446,0.111,1.95,2.46,2.66,554430,0.131056240759388,0.15910138731119092,0.26145784564131264,5.456102208084253,0.8280233743116194,0.7065569649396541,157.91497591770343,66.99431402768235,6.0
2019,Max Scherzer,WSN,3,0,6,30.0,11.1,4.5,1.2,0.246,0.921,0.3379999999999999,0.121,2.4,3.98,4.44,453286,0.12532675277256067,0.1933089146965261,0.2301214057160814,5.7468459994465935,0.7501621169450319,0.6001175363841047,361.97732224702963,62.76786509229489,5.0
2017,Justin Verlander,HOU,4,1,6,36.2,9.33,1.96,0.74,0.224,0.8270000000000001,0.253,0.06,2.21,2.97,4.33,434378,0.19143989943422834,0.16389239917881585,0.5623220153870914,5.731633970217159,0.8201510303027787,0.8650460735156225,209.98248739444898,71.58783862696185,6.0
2023,Merrill Kelly,ARI,3,1,4,24.0,10.5,3.0,1.5,0.157,0.972,0.4,0.138,2.25,4.09,3.92,518876,0.12112330557497371,0.11129698481249746,0.18430584585523868,3.494148614258141,0.6849610249498342,0.6966236243753408,161.32585791178764,57.593738099341635,6.0
2023,Josh Sborz,TEX,0,0,10,12.0,9.75,3.0,0.0,0.154,0.875,0.5,0.0,0.75,2.09,3.47,622250,0.2964978589524186,0.11246022382317925,0.15767060457608323,4.921124731983414,0.5925699560249537,0.9922683249219435,126.51866881093996,91.20197319772403,3.0
2022,Zack Wheeler,PHI,1,3,6,35.2,8.33,1.77,0.5,0.191,0.662,0.505,0.059,2.78,2.92,3.6,554430,0.13324584446556362,0.1412253203325662,0.16175187804947144,4.902491373890365,0.7168969048112805,0.7134634219548588,188.62646673487674,54.65810641540343,5.0
2023,Aaron Nola,PHI,3,1,4,23.0,9.0,1.57,0.78,0.271,0.8420000000000001,0.492,0.095,2.35,3.04,3.42,605400,0.13890100534543076,0.14664550751606192,0.25654035041627826,5.846914851113402,1.0544833817945307,0.903198200163883,325.0202294907506,81.93180348571083,5.0
2023,Ranger Suárez,PHI,1,1,4,18.2,9.16,0.96,0.48,0.245,0.809,0.531,0.059,1.93,2.24,3.05,624133,0.26915511951359683,0.13708353234933654,0.17870610890897706,6.873922526630858,0.868634823715547,0.6532859565200921,254.3459044308498,71.12380339830297,6.0
2023,Kevin Ginkel,ARI,1,0,10,11.2,11.57,3.86,0.0,0.308,1.0,0.542,0.0,0.0,1.97,3.39,656464,0.1331038875221636,0.09727513025128119,0.17895291502319605,4.519271987133109,0.6278006971149959,0.7048857920142999,96.46462388818698,83.99839867800232,3.0
2021,Ian Anderson,ATL,2,0,4,17.0,8.47,3.71,0.53,0.19,0.904,0.395,0.05,1.59,3.64,4.95,666120,0.14923583218605674,0.08926588785933076,0.2166304125283006,5.514174206154417,0.37427063155073215,0.7836173799245973,210.09184278208605,73.86871222020953,5.0
2023,Nathan Eovaldi,TEX,5,0,6,36.2,10.06,2.45,0.74,0.286,0.794,0.5,0.12,2.95,2.98,3.05,543135,0.1674874824425181,0.15803817426484373,0.2344815900752194,6.378187875784983,0.7439964942158988,0.6686496262349854,272.06377270006084,64.94471664259906,6.0
2018,Nathan Eovaldi,BOS,2,1,6,22.1,6.45,1.21,0.4,0.215,0.7829999999999999,0.508,0.05,1.61,2.71,3.61,543135,0.20668436922878644,0.16594583944822758,0.24995644983754428,4.839478012206623,0.6240264549923974,0.5196458131986031,307.6566150515353,50.756523942387986,5.0
2021,Logan Webb,SFG,1,0,2,14.2,10.43,0.61,0.0,0.257,0.9,0.6,0.0,0.61,1.06,1.66,657277,0.166178438140772,0.12584870657709316,0.13436218904225336,4.681164872718447,0.911387377950224,0.4152399173015589,463.7951846945466,87.11269314569059,5.0
2021,Will Smith,ATL,2,0,11,11.0,6.55,2.45,0.0,0.179,1.0,0.37,0.0,0.0,2.53,4.46,519293,0.18473725872551436,0.11366686604128291,0.14544399677781866,6.052567554282279,0.6156447842972773,0.760538334701075,120.39650907152702,83.96306390687006,3.0
