Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2023,Joe Jiménez,ATL,0,0,1,1.0,9.0,9.0,0.0,0.333,1.0,0.0,0.0,0.0,4.26,7.56,641729,-2.4166417112299463,5.833251336898396,53.39286631016043,91.52641711229946,-0.42827807486631014,0.9848342245989306,2334.2459893048126,183.3379679144385,3.0
2021,Jake Cousins,MIL,0,0,1,1.0,9.0,9.0,0.0,0.333,1.0,0.3329999999999999,0.0,0.0,4.17,5.93,664776,-3.799812382739212,5.503452157598499,53.654746716697936,87.93339587242026,-0.06360225140712945,0.35947467166979363,2415.7966101694915,122.24293785310735,4.0
2023,Huascar Brazobán,MIA,0,0,1,1.0,18.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,2.26,2.26,623211,-1.8086166007905138,5.73649209486166,54.54228260869565,91.38784584980237,-0.8791600790513834,0.5393280632411067,2168.925224327019,217.11764705882354,4.0
2023,Tanner Scott,MIA,0,0,1,1.0,9.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.26,2.91,656945,2.7595778145695364,5.083129139072848,54.100529801324505,92.91432119205298,-0.12734271523178808,0.5844370860927153,2669.216417910448,207.8565505804312,3.0
2023,A.J. Puk,MIA,0,0,1,1.0,9.0,0.0,0.0,0.333,1.0,0.3329999999999999,0.0,0.0,1.26,2.91,640462,3.467947368421053,5.299642105263158,53.33754736842105,90.65021052631579,0.29685263157894737,0.7541052631578947,2239.671957671958,189.9164021164021,6.0
2023,George Soriano,MIA,0,0,1,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.26,4.56,666277,-1.767123442808607,5.295254813137033,54.032842582106454,89.09003397508494,-0.2431030577576444,0.44310305775764436,2339.6601156069364,163.99884393063584,3.0
2023,Daysbel Hernández,ATL,0,0,1,1.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,9.26,9.26,678226,-1.1363855421686748,5.888674698795181,54.25060240963855,92.12771084337349,-0.20518072289156628,0.7740963855421686,2523.8192771084337,188.0843373493976,2.0
2023,Trevor Megill,MIL,0,0,1,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.74,-2.74,656730,-0.8675459098497496,6.539799666110184,53.83549248747913,95.42237061769616,-0.166110183639399,0.8529716193656094,2613.2687813021703,151.49248747913188,2.0
2018,Shawn Kelley,OAK,0,0,1,1.0,0.0,0.0,0.0,0.25,1.0,0.5,0.0,0.0,3.16,4.81,518875,-1.1942148760330578,5.797410468319559,54.39555096418732,86.29297520661157,0.12663911845730028,0.7889944903581266,2316.753448275862,146.97658402203857,2.0
2018,Jeurys Familia,OAK,0,0,1,1.0,9.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.16,1.16,544727,-1.453182199832074,6.290654911838791,54.871452560873216,93.65155331654073,-0.9304701931150294,0.5357010915197313,2228.8278757346766,219.80856423173805,4.0
